,Survived,Name,Sex,Age,Embarked
169,0,"Ling, Mr. Lee",male,28.0,S
170,0,"Van der hoef, Mr. Wyckoff",male,61.0,S
171,0,"Rice, Master. Arthur",male,4.0,Q
172,1,"Johnson, Miss. Eleanor Ileen",female,1.0,S
173,0,"Sivola, Mr. Antti Wilhelm",male,21.0,S
174,0,"Smith, Mr. James Clinch",male,56.0,C
175,0,"Klasen, Mr. Klas Albin",male,18.0,S
176,0,"Lefebre, Master. Henry Forbes",male,,S
177,0,"Isham, Miss. Ann Elizabeth",female,50.0,C
178,0,"Hale, Mr. Reginald",male,30.0,S
179,0,"Leonard, Mr. Lionel",male,36.0,S
180,0,"Sage, Miss. Constance Gladys",female,,S
181,0,"Pernot, Mr. Rene",male,,C
182,0,"Asplund, Master. Clarence Gustaf Hugo",male,9.0,S
183,1,"Becker, Master. Richard F",male,1.0,S
184,1,"Kink-Heilmann, Miss. Luise Gretchen",female,4.0,S
185,0,"Rood, Mr. Hugh Roscoe",male,,S
186,1,"O'Brien, Mrs. Thomas (Johanna ""Hannah"" Godfrey)",female,,Q
187,1,"Romaine, Mr. Charles Hallace (""Mr C Rolmane"")",male,45.0,S
188,0,"Bourke, Mr. John",male,40.0,Q
189,0,"Turcin, Mr. Stjepan",male,36.0,S
190,1,"Pinsky, Mrs. (Rosa)",female,32.0,S
191,0,"Carbines, Mr. William",male,19.0,S
192,1,"Andersen-Jensen, Miss. Carla Christine Nielsine",female,19.0,S
193,1,"Navratil, Master. Michel M",male,3.0,S
194,1,"Brown, Mrs. James Joseph (Margaret Tobin)",female,44.0,C
195,1,"Lurette, Miss. Elise",female,58.0,C
196,0,"Mernagh, Mr. Robert",male,,Q
197,0,"Olsen, Mr. Karl Siegwart Andreas",male,42.0,S
198,1,"Madigan, Miss. Margaret ""Maggie""",female,,Q
199,0,"Yrois, Miss. Henriette (""Mrs Harbeck"")",female,24.0,S
200,0,"Vande Walle, Mr. Nestor Cyriel",male,28.0,S
201,0,"Sage, Mr. Frederick",male,,S
202,0,"Johanson, Mr. Jakob Alfred",male,34.0,S
203,0,"Youseff, Mr. Gerious",male,45.5,C
204,1,"Cohen, Mr. Gurshon ""Gus""",male,18.0,S
205,0,"Strom, Miss. Telma Matilda",female,2.0,S
206,0,"Backstrom, Mr. Karl Alfred",male,32.0,S
207,1,"Albimona, Mr. Nassef Cassem",male,26.0,C
208,1,"Carr, Miss. Helen ""Ellen""",female,16.0,Q
209,1,"Blank, Mr. Henry",male,40.0,C
210,0,"Ali, Mr. Ahmed",male,24.0,S
211,1,"Cameron, Miss. Clear Annie",female,35.0,S
212,0,"Perkin, Mr. John Henry",male,22.0,S
213,0,"Givard, Mr. Hans Kristensen",male,30.0,S
214,0,"Kiernan, Mr. Philip",male,,Q
215,1,"Newell, Miss. Madeleine",female,31.0,C
216,1,"Honkanen, Miss. Eliina",female,27.0,S
217,0,"Jacobsohn, Mr. Sidney Samuel",male,42.0,S
218,1,"Bazzani, Miss. Albina",female,32.0,C
219,0,"Harris, Mr. Walter",male,30.0,S
220,1,"Sunderland, Mr. Victor Francis",male,16.0,S
221,0,"Bracken, Mr. James H",male,27.0,S
222,0,"Green, Mr. George Henry",male,51.0,S
223,0,"Nenkoff, Mr. Christo",male,,S
224,1,"Hoyt, Mr. Frederick Maxfield",male,38.0,S
225,0,"Berglund, Mr. Karl Ivar Sven",male,22.0,S
226,1,"Mellors, Mr. William John",male,19.0,S
227,0,"Lovell, Mr. John Hall (""Henry"")",male,20.5,S
228,0,"Fahlstrom, Mr. Arne Jonas",male,18.0,S
229,0,"Lefebre, Miss. Mathilde",female,,S
230,1,"Harris, Mrs. Henry Birkhardt (Irene Wallach)",female,35.0,S
231,0,"Larsson, Mr. Bengt Edvin",male,29.0,S
232,0,"Sjostedt, Mr. Ernst Adolf",male,59.0,S
233,1,"Asplund, Miss. Lillian Gertrud",female,5.0,S
234,0,"Leyson, Mr. Robert William Norman",male,24.0,S
235,0,"Harknett, Miss. Alice Phoebe",female,,S
236,0,"Hold, Mr. Stephen",male,44.0,S
237,1,"Collyer, Miss. Marjorie ""Lottie""",female,8.0,S
238,0,"Pengelly, Mr. Frederick William",male,19.0,S
239,0,"Hunt, Mr. George Henry",male,33.0,S
240,0,"Zabour, Miss. Thamine",female,,C
241,1,"Murphy, Miss. Katherine ""Kate""",female,,Q
242,0,"Coleridge, Mr. Reginald Charles",male,29.0,S
243,0,"Maenpaa, Mr. Matti Alexanteri",male,22.0,S
244,0,"Attalah, Mr. Sleiman",male,30.0,C
245,0,"Minahan, Dr. William Edward",male,44.0,Q
246,0,"Lindahl, Miss. Agda Thorilda Viktoria",female,25.0,S
247,1,"Hamalainen, Mrs. William (Anna)",female,24.0,S
248,1,"Beckwith, Mr. Richard Leonard",male,37.0,S
249,0,"Carter, Rev. Ernest Courtenay",male,54.0,S
250,0,"Reed, Mr. James George",male,,S
251,0,"Strom, Mrs. Wilhelm (Elna Matilda Persson)",female,29.0,S
252,0,"Stead, Mr. William Thomas",male,62.0,S
253,0,"Lobb, Mr. William Arthur",male,30.0,S
254,0,"Rosblom, Mrs. Viktor (Helena Wilhelmina)",female,41.0,S
255,1,"Touma, Mrs. Darwis (Hanne Youssef Razi)",female,29.0,C
256,1,"Thorne, Mrs. Gertrude Maybelle",female,,C
257,1,"Cherry, Miss. Gladys",female,30.0,S
258,1,"Ward, Miss. Anna",female,35.0,C
259,1,"Parrish, Mrs. (Lutie Davis)",female,50.0,S
260,0,"Smith, Mr. Thomas",male,,Q
261,1,"Asplund, Master. Edvin Rojj Felix",male,3.0,S
262,0,"Taussig, Mr. Emil",male,52.0,S
263,0,"Harrison, Mr. William",male,40.0,S
264,0,"Henry, Miss. Delia",female,,Q
265,0,"Reeves, Mr. David",male,36.0,S
266,0,"Panula, Mr. Ernesti Arvid",male,16.0,S
267,1,"Persson, Mr. Ernst Ulrik",male,25.0,S
268,1,"Graham, Mrs. William Thompson (Edith Junkins)",female,58.0,S
269,1,"Bissette, Miss. Amelia",female,35.0,S
270,0,"Cairns, Mr. Alexander",male,,S
271,1,"Tornquist, Mr. William Henry",male,25.0,S
272,1,"Mellinger, Mrs. (Elizabeth Anne Maidment)",female,41.0,S
273,0,"Natsch, Mr. Charles H",male,37.0,C
274,1,"Healy, Miss. Hanora ""Nora""",female,,Q
275,1,"Andrews, Miss. Kornelia Theodosia",female,63.0,S
276,0,"Lindblom, Miss. Augusta Charlotta",female,45.0,S
277,0,"Parkes, Mr. Francis ""Frank""",male,,S
278,0,"Rice, Master. Eric",male,7.0,Q
279,1,"Abbott, Mrs. Stanton (Rosa Hunt)",female,35.0,S
280,0,"Duane, Mr. Frank",male,65.0,Q
281,0,"Olsson, Mr. Nils Johan Goransson",male,28.0,S
282,0,"de Pelsmaeker, Mr. Alfons",male,16.0,S
283,1,"Dorking, Mr. Edward Arthur",male,19.0,S
284,0,"Smith, Mr. Richard William",male,,S
285,0,"Stankovic, Mr. Ivan",male,33.0,C
286,1,"de Mulder, Mr. Theodore",male,30.0,S
287,0,"Naidenoff, Mr. Penko",male,22.0,S
288,1,"Hosono, Mr. Masabumi",male,42.0,S
289,1,"Connolly, Miss. Kate",female,22.0,Q
290,1,"Barber, Miss. Ellen ""Nellie""",female,26.0,S
291,1,"Bishop, Mrs. Dickinson H (Helen Walton)",female,19.0,C
292,0,"Levy, Mr. Rene Jacques",male,36.0,C
293,0,"Haas, Miss. Aloisia",female,24.0,S
294,0,"Mineff, Mr. Ivan",male,24.0,S
295,0,"Lewy, Mr. Ervin G",male,,C
296,0,"Hanna, Mr. Mansour",male,23.5,C
297,0,"Allison, Miss. Helen Loraine",female,2.0,S
298,1,"Saalfeld, Mr. Adolphe",male,,S
299,1,"Baxter, Mrs. James (Helene DeLaudeniere Chaput)",female,50.0,C
300,1,"Kelly, Miss. Anna Katherine ""Annie Kate""",female,,Q
301,1,"McCoy, Mr. Bernard",male,,Q
302,0,"Johnson, Mr. William Cahoone Jr",male,19.0,S
303,1,"Keane, Miss. Nora A",female,,Q
304,0,"Williams, Mr. Howard Hugh ""Harry""",male,,S
305,1,"Allison, Master. Hudson Trevor",male,0.92,S
306,1,"Fleming, Miss. Margaret",female,,C
307,1,"Penasco y Castellana, Mrs. Victor de Satode (Maria Josefa Perez de Soto y Vallejo)",female,17.0,C
308,0,"Abelson, Mr. Samuel",male,30.0,C
309,1,"Francatelli, Miss. Laura Mabel",female,30.0,C
310,1,"Hays, Miss. Margaret Bechstein",female,24.0,C
311,1,"Ryerson, Miss. Emily Borie",female,18.0,C
312,0,"Lahtinen, Mrs. William (Anna Sylfven)",female,26.0,S
313,0,"Hendekovic, Mr. Ignjac",male,28.0,S
314,0,"Hart, Mr. Benjamin",male,43.0,S
315,1,"Nilsson, Miss. Helmina Josefina",female,26.0,S
316,1,"Kantor, Mrs. Sinai (Miriam Sternin)",female,24.0,S
317,0,"Moraweck, Dr. Ernest",male,54.0,S
318,1,"Wick, Miss. Mary Natalie",female,31.0,S
319,1,"Spedden, Mrs. Frederic Oakley (Margaretta Corning Stone)",female,40.0,C
320,0,"Dennis, Mr. Samuel",male,22.0,S
321,0,"Danoff, Mr. Yoto",male,27.0,S
322,1,"Slayter, Miss. Hilda Mary",female,30.0,Q
323,1,"Caldwell, Mrs. Albert Francis (Sylvia Mae Harbaugh)",female,22.0,S
324,0,"Sage, Mr. George John Jr",male,,S
325,1,"Young, Miss. Marie Grice",female,36.0,C
326,0,"Nysveen, Mr. Johan Hansen",male,61.0,S
327,1,"Ball, Mrs. (Ada E Hall)",female,36.0,S
328,1,"Goldsmith, Mrs. Frank John (Emily Alice Brown)",female,31.0,S
329,1,"Hippach, Miss. Jean Gertrude",female,16.0,C
330,1,"McCoy, Miss. Agnes",female,,Q
331,0,"Partner, Mr. Austen",male,45.5,S
332,0,"Graham, Mr. George Edward",male,38.0,S
333,0,"Vander Planke, Mr. Leo Edmondus",male,16.0,S
334,1,"Frauenthal, Mrs. Henry William (Clara Heinsheimer)",female,,S
335,0,"Denkoff, Mr. Mitto",male,,S
336,0,"Pears, Mr. Thomas Clinton",male,29.0,S
337,1,"Burns, Miss. Elizabeth Margaret",female,41.0,C
338,1,"Dahl, Mr. Karl Edwart",male,45.0,S
339,0,"Blackwell, Mr. Stephen Weart",male,45.0,S
340,1,"Navratil, Master. Edmond Roger",male,2.0,S
341,1,"Fortune, Miss. Alice Elizabeth",female,24.0,S
342,0,"Collander, Mr. Erik Gustaf",male,28.0,S
343,0,"Sedgwick, Mr. Charles Frederick Waddington",male,25.0,S
344,0,"Fox, Mr. Stanley Hubert",male,36.0,S
345,1,"Brown, Miss. Amelia ""Mildred""",female,24.0,S
346,1,"Smith, Miss. Marion Elsie",female,40.0,S
347,1,"Davison, Mrs. Thomas Henry (Mary E Finck)",female,,S
348,1,"Coutts, Master. William Loch ""William""",male,3.0,S
349,0,"Dimic, Mr. Jovan",male,42.0,S
350,0,"Odahl, Mr. Nils Martin",male,23.0,S
351,0,"Williams-Lambert, Mr. Fletcher Fellows",male,,S
352,0,"Elias, Mr. Tannous",male,15.0,C
353,0,"Arnold-Franchi, Mr. Josef",male,25.0,S
354,0,"Yousif, Mr. Wazli",male,,C
355,0,"Vanden Steen, Mr. Leo Peter",male,28.0,S
356,1,"Bowerman, Miss. Elsie Edith",female,22.0,S
357,0,"Funk, Miss. Annie Clemmer",female,38.0,S
358,1,"McGovern, Miss. Mary",female,,Q
359,1,"Mockler, Miss. Helen Mary ""Ellie""",female,,Q
360,0,"Skoog, Mr. Wilhelm",male,40.0,S
361,0,"del Carlo, Mr. Sebastiano",male,29.0,C
362,0,"Barbara, Mrs. (Catherine David)",female,45.0,C
363,0,"Asim, Mr. Adola",male,35.0,S
364,0,"O'Brien, Mr. Thomas",male,,Q
365,0,"Adahl, Mr. Mauritz Nils Martin",male,30.0,S
366,1,"Warren, Mrs. Frank Manley (Anna Sophia Atkinson)",female,60.0,C
367,1,"Moussa, Mrs. (Mantoura Boulos)",female,,C
368,1,"Jermyn, Miss. Annie",female,,Q
369,1,"Aubart, Mme. Leontine Pauline",female,24.0,C
370,1,"Harder, Mr. George Achilles",male,25.0,C
371,0,"Wiklund, Mr. Jakob Alfred",male,18.0,S
372,0,"Beavan, Mr. William Thomas",male,19.0,S
373,0,"Ringhini, Mr. Sante",male,22.0,C
374,0,"Palsson, Miss. Stina Viola",female,3.0,S
375,1,"Meyer, Mrs. Edgar Joseph (Leila Saks)",female,,C
376,1,"Landergren, Miss. Aurora Adelia",female,22.0,S
377,0,"Widener, Mr. Harry Elkins",male,27.0,C
378,0,"Betros, Mr. Tannous",male,20.0,C
379,0,"Gustafsson, Mr. Karl Gideon",male,19.0,S
380,1,"Bidois, Miss. Rosalie",female,42.0,C
381,1,"Nakid, Miss. Maria (""Mary"")",female,1.0,C
382,0,"Tikkanen, Mr. Juho",male,32.0,S
383,1,"Holverson, Mrs. Alexander Oskar (Mary Aline Towner)",female,35.0,S
384,0,"Plotcharsky, Mr. Vasil",male,,S
385,0,"Davies, Mr. Charles Henry",male,18.0,S
386,0,"Goodwin, Master. Sidney Leonard",male,1.0,S
387,1,"Buss, Miss. Kate",female,36.0,S
388,0,"Sadlier, Mr. Matthew",male,,Q
389,1,"Lehmann, Miss. Bertha",female,17.0,C
390,1,"Carter, Mr. William Ernest",male,36.0,S
391,1,"Jansson, Mr. Carl Olof",male,21.0,S
392,0,"Gustafsson, Mr. Johan Birger",male,28.0,S
393,1,"Newell, Miss. Marjorie",female,23.0,C
394,1,"Sandstrom, Mrs. Hjalmar (Agnes Charlotta Bengtsson)",female,24.0,S
395,0,"Johansson, Mr. Erik",male,22.0,S
396,0,"Olsson, Miss. Elina",female,31.0,S
397,0,"McKane, Mr. Peter David",male,46.0,S
398,0,"Pain, Dr. Alfred",male,23.0,S
399,1,"Trout, Mrs. William H (Jessie L)",female,28.0,S
400,1,"Niskanen, Mr. Juha",male,39.0,S
401,0,"Adams, Mr. John",male,26.0,S
402,0,"Jussila, Miss. Mari Aina",female,21.0,S
403,0,"Hakkarainen, Mr. Pekka Pietari",male,28.0,S
404,0,"Oreskovic, Miss. Marija",female,20.0,S
405,0,"Gale, Mr. Shadrach",male,34.0,S
406,0,"Widegren, Mr. Carl/Charles Peter",male,51.0,S
407,1,"Richards, Master. William Rowe",male,3.0,S
408,0,"Birkeland, Mr. Hans Martin Monsen",male,21.0,S
409,0,"Lefebre, Miss. Ida",female,,S
410,0,"Sdycoff, Mr. Todor",male,,S
411,0,"Hart, Mr. Henry",male,,Q
412,1,"Minahan, Miss. Daisy E",female,33.0,Q
413,0,"Cunningham, Mr. Alfred Fleming",male,,S
414,1,"Sundman, Mr. Johan Julian",male,44.0,S
415,0,"Meek, Mrs. Thomas (Annie Louise Rowley)",female,,S
416,1,"Drew, Mrs. James Vivian (Lulu Thorne Christian)",female,34.0,S
417,1,"Silven, Miss. Lyyli Karoliina",female,18.0,S
418,0,"Matthews, Mr. William John",male,30.0,S
419,0,"Van Impe, Miss. Catharina",female,10.0,S
420,0,"Gheorgheff, Mr. Stanio",male,,C
421,0,"Charters, Mr. David",male,21.0,Q
422,0,"Zimmerman, Mr. Leo",male,29.0,S
423,0,"Danbom, Mrs. Ernst Gilbert (Anna Sigrid Maria Brogren)",female,28.0,S
424,0,"Rosblom, Mr. Viktor Richard",male,18.0,S
425,0,"Wiseman, Mr. Phillippe",male,,S
426,1,"Clarke, Mrs. Charles V (Ada Maria Winfield)",female,28.0,S
427,1,"Phillips, Miss. Kate Florence (""Mrs Kate Louise Phillips Marshall"")",female,19.0,S
428,0,"Flynn, Mr. James",male,,Q
429,1,"Pickard, Mr. Berk (Berk Trembisky)",male,32.0,S
430,1,"Bjornstrom-Steffansson, Mr. Mauritz Hakan",male,28.0,S
431,1,"Thorneycroft, Mrs. Percival (Florence Kate White)",female,,S
432,1,"Louch, Mrs. Charles Alexander (Alice Adelaide Slow)",female,42.0,S
433,0,"Kallio, Mr. Nikolai Erland",male,17.0,S
434,0,"Silvey, Mr. William Baird",male,50.0,S
435,1,"Carter, Miss. Lucile Polk",female,14.0,S
436,0,"Ford, Miss. Doolina Margaret ""Daisy""",female,21.0,S
437,1,"Richards, Mrs. Sidney (Emily Hocking)",female,24.0,S
438,0,"Fortune, Mr. Mark",male,64.0,S
439,0,"Kvillner, Mr. Johan Henrik Johannesson",male,31.0,S
440,1,"Hart, Mrs. Benjamin (Esther Ada Bloomfield)",female,45.0,S
441,0,"Hampe, Mr. Leon",male,20.0,S
442,0,"Petterson, Mr. Johan Emil",male,25.0,S
443,1,"Reynaldo, Ms. Encarnacion",female,28.0,S
444,1,"Johannesen-Bratthammer, Mr. Bernt",male,,S
445,1,"Dodge, Master. Washington",male,4.0,S
446,1,"Mellinger, Miss. Madeleine Violet",female,13.0,S
447,1,"Seward, Mr. Frederic Kimber",male,34.0,S
448,1,"Baclini, Miss. Marie Catherine",female,5.0,C
449,1,"Peuchen, Major. Arthur Godfrey",male,52.0,S
450,0,"West, Mr. Edwy Arthur",male,36.0,S
451,0,"Hagland, Mr. Ingvald Olai Olsen",male,,S
452,0,"Foreman, Mr. Benjamin Laventall",male,30.0,C
453,1,"Goldenberg, Mr. Samuel L",male,49.0,C
454,0,"Peduzzi, Mr. Joseph",male,,S
455,1,"Jalsevac, Mr. Ivan",male,29.0,C
456,0,"Millet, Mr. Francis Davis",male,65.0,S
457,1,"Kenyon, Mrs. Frederick R (Marion)",female,,S
